word,good,bad
snoop,5031,245
spina,5031,245
stalk,5031,245
wreck,5031,245
adorn,5030,246
baler,5030,246
beryl,5030,246
bilge,5030,246
brace,5030,246
cored,5030,246
crink,5030,246
derby,5030,246
hyped,5030,246
locks,5030,246
lowed,5030,246
lurch,5030,246
match,5511,246
molds,5030,246
monic,5030,246
narco,5030,246
nards,5030,246
paned,5030,246
peals,5030,246
relic,5030,246
rivet,5030,246
scarf,5030,246
spake,5030,246
torah,5030,246
vetch,5030,246
agent,5029,247
belts,5029,247
bhang,5029,247
binge,5029,247
blear,5029,247
bloke,5029,247
cider,5029,247
clews,5029,247
clone,5029,247
damns,5029,247
decal,5029,247
drips,5029,247
dumps,5029,247
enact,5029,247
feral,5029,247
flaws,5029,247
gamer,5029,247
helms,5029,247
maths,5029,247
mends,5029,247
metro,5029,247
mocks,5029,247
pangs,5029,247
paste,5029,247
reply,5029,247
scrub,5029,247
smear,5029,247
spasm,5029,247
spent,5510,247
talks,5029,247
tarns,5029,247
thine,5029,247
tubal,5029,247
wiled,5029,247
adept,5028,248
bodge,5028,248
boned,5028,248
brads,5028,248
dicer,5028,248
embed,5028,248
facet,5028,248
flank,5028,248
gable,5028,248
gamut,5028,248
grime,5028,248
hilts,5028,248
legit,5028,248
lochs,5028,248
lofts,5028,248
marts,5028,248
mount,5028,248
opals,5028,248
paced,5028,248
pawns,5028,248
poked,5028,248
polis,5028,248
raced,5028,248
salty,5028,248
shift,5028,248
slate,5028,248
spore,5028,248
sprue,5028,248
spume,5028,248
stork,5028,248
topaz,5028,248
trams,5028,248
twink,5028,248
block,5508,249
brows,5027,249
clans,5027,249
clefs,5027,249
clods,5027,249
droop,5027,249
farce,5027,249
fleet,5027,249
flied,5027,249
forte,5027,249
germs,5027,249
gilts,5027,249
glads,5027,249
grope,5027,249
harms,5027,249
lacer,5027,249
limit,5027,249
panda,5027,249
parse,5027,249
pints,5027,249
pions,5027,249
piths,5027,249
purls,5027,249
refit,5027,249
rifle,5027,249
sabre,5027,249
shelf,5027,249
sherd,5027,249
stern,5027,249
thane,5027,249
tinge,5027,249
valet,5027,249
whelk,5027,249
wider,5027,249
wilds,5027,249
acorn,5026,250
angel,5026,250
bends,5026,250
blare,5026,250
bonds,5026,250
chime,5026,250
clove,5026,250
coral,5026,250
dater,5026,250
dhows,5026,250
drama,5026,250
drone,5026,250
famed,5026,250
fecal,5026,250
films,5026,250
flier,5026,250
glens,5026,250
gripe,5026,250
matzo,5026,250
metre,5026,250
miler,5026,250
mrads,5026,250
nicad,5026,250
peach,5026,250
pewit,5026,250
piker,5026,250
recto,5026,250
rehab,5026,250
ridge,5026,250
rowed,5026,250
shack,5026,250
shard,5026,250
shorn,5026,250
sputa,5026,250
steal,5026,250
stela,5026,250
swart,5026,250
thorn,5026,250
toned,5026,250
towel,5026,250
wolds,5026,250
bands,5025,251
baths,5025,251
bruit,5025,251
burps,5025,251
cadre,5025,251
claws,5025,251
clerk,5025,251
coper,5025,251
datum,5025,251
dealt,5025,251
ethic,5025,251
flits,5025,251
frost,5025,251
gibed,5025,251
groan,5025,251
hired,5025,251
